No files changed, compilation skipped
  66, 23964468964068179080000
  67, 24030221649071113560000
  68, 24096154743478970700000
  69, 24162268742291359780000
  70, 24228564141866048800000
  71, 24295041439922691000000
  72, 24361701135546561520000
  73, 24428543729192304320000
  74, 24495569722687689440000
  75, 24562779619237380440000
  76, 24630173923426712340000
  77, 24697753141225479840000
  78, 24765517779991735900000
  79, 24833468348475600800000
  80, 24901605356823081660000
  81, 24969929316579902420000
  82, 25038440740695344240000
  83, 25107140143526096600000
  84, 25176028040840118880000
  85, 25245104949820512540000
  86, 25314371389069403860000
  87, 25383827878611837520000
  88, 25453474939899680640000
  89, 25523313095815537680000
  90, 25593342870676676020000
  user 1
  stake start timestamp: 1744044641
  User Points for 90 days, Stake Amount: 10000 KLIMA_V0, Growth Rate: 274
  day,points
  0, 15000000000000000000000
  1, 15041156358462306840000
  2, 15082425639980738880000
  3, 15123808154388747885000
  4, 15165304212369893400000
  5, 15206914125460175220000
  6, 15248638206050372325000
  7, 15290476767388388115000
  8, 15332430123581602185000
  9, 15374498589599228595000
  10, 15416682481274680395000
  11, 15458982115307940870000
  12, 15501397809267941145000
  13, 15543929881594944435000
  14, 15586578651602936745000
  15, 15629344439482024065000
  16, 15672227566300836360000
  17, 15715228354008937965000
  18, 15758347125439244655000
  19, 15801584204310447330000
  20, 15844939915229442435000
  21, 15888414583693768890000
  22, 15932008536094051875000
  23, 15975722099716453155000
  24, 16019555602745128350000
  25, 16063509374264690655000
  26, 16107583744262681595000
  27, 16151779043632048365000
  28, 16196095604173628115000
  29, 16240533758598638925000
  30, 16285093840531177665000
  31, 16329776184510724755000
  32, 16374581125994655750000
  33, 16419509001360759765000
  34, 16464560147909764920000
  35, 16509734903867870670000
  36, 16555033608389287020000
  37, 16600456601558780805000
  38, 16646004224394228885000
  39, 16691676818849178420000
  40, 16737474727815414045000
  41, 16783398295125532245000
  42, 16829447865555522645000
  43, 16875623784827356515000
  44, 16921926399611582250000
  45, 16968356057529928110000
  46, 17014913107157911950000
  47, 17061597898027458225000
  48, 17108410780629522180000
  49, 17155352106416721090000
  50, 17202422227805972910000
  51, 17249621498181142095000
  52, 17296950271895692605000
  53, 17344408904275348275000
  54, 17391997751620760475000
  55, 17439717171210183060000
  56, 17487567521302154685000
  57, 17535549161138188425000
  58, 17583662450945468925000
  59, 17631907751939556720000
  60, 17680285426327100145000
  61, 17728795837308554655000
  62, 17777439349080909615000
  63, 17826216326840422470000
  64, 17875127136785360565000
  65, 17924172146118750360000
  66, 17973351723051134310000
  67, 18022666236803335170000
  68, 18072116057609228025000
  69, 18121701556718519835000
  70, 18171423106399536600000
  71, 18221281079942018250000
  72, 18271275851659921140000
  73, 18321407796894228240000
  74, 18371677292015767080000
  75, 18422084714428035330000
  76, 18472630442570034255000
  77, 18523314855919109880000
  78, 18574138334993801925000
  79, 18625101261356700600000
  80, 18676204017617311245000
  81, 18727446987434926815000
  82, 18778830555521508180000
  83, 18830355107644572450000
  84, 18882021030630089160000
  85, 18933828712365384405000
  86, 18985778541802052895000
  87, 19037870908958878140000
  88, 19090106204924760480000
  89, 19142484821861653260000
  90, 19195007153007507015000
  user 2
  stake start timestamp: 1744649441
  User Points for 90 days, Stake Amount: 10000 KLIMA_V0, Growth Rate: 274
  day,points
  0, 10000000000000000000000
  1, 10027437572308204560000
  2, 10054950426653825920000
  3, 10082538769592498590000
  4, 10110202808246595600000
  5, 10137942750306783480000
  6, 10165758804033581550000
  7, 10193651178258925410000
  8, 10221620082387734790000
  9, 10249665726399485730000
  10, 10277788320849786930000
  11, 10305988076871960580000
  12, 10334265206178627430000
  13, 10362619921063296290000
  14, 10391052434401957830000
  15, 10419562959654682710000
  16, 10448151710867224240000
  17, 10476818902672625310000
  18, 10505564750292829770000
  19, 10534389469540298220000
  20, 10563293276819628290000
  21, 10592276389129179260000
  22, 10621339024062701250000
  23, 10650481399810968770000
  24, 10679703735163418900000
  25, 10709006249509793770000
  26, 10738389162841787730000
  27, 10767852695754698910000
  28, 10797397069449085410000
  29, 10827022505732425950000
  30, 10856729227020785110000
  31, 10886517456340483170000
  32, 10916387417329770500000
  33, 10946339334240506510000
  34, 10976373431939843280000
  35, 11006489935911913780000
  36, 11036689072259524680000
  37, 11066971067705853870000
  38, 11097336149596152590000
  39, 11127784545899452280000
  40, 11158316485210276030000
  41, 11188932196750354830000
  42, 11219631910370348430000
  43, 11250415856551571010000
  44, 11281284266407721500000
  45, 11312237371686618740000
  46, 11343275404771941300000
  47, 11374398598684972150000
  48, 11405607187086348120000
  49, 11436901404277814060000
  50, 11468281485203981940000
  51, 11499747665454094730000
  52, 11531300181263795070000
  53, 11562939269516898850000
  54, 11594665167747173650000
  55, 11626478114140122040000
  56, 11658378347534769790000
  57, 11690366107425458950000
  58, 11722441633963645950000
  59, 11754605167959704480000
  60, 11786856950884733430000
  61, 11819197224872369770000
  62, 11851626232720606410000
  63, 11884144217893614980000
  64, 11916751424523573710000
  65, 11949448097412500240000
  66, 11982234482034089540000
  67, 12015110824535556780000
  68, 12048077371739485350000
  69, 12081134371145679890000
  70, 12114282070933024400000
  71, 12147520719961345500000
  72, 12180850567773280760000
  73, 12214271864596152160000
  74, 12247784861343844720000
  75, 12281389809618690220000
  76, 12315086961713356170000
  77, 12348876570612739920000
  78, 12382758889995867950000
  79, 12416734174237800400000
  80, 12450802678411540830000
  81, 12484964658289951210000
  82, 12519220370347672120000
  83, 12553570071763048300000
  84, 12588014020420059440000
  85, 12622552474910256270000
  86, 12657185694534701930000
  87, 12691913939305918760000
  88, 12726737469949840320000
  89, 12761656547907768840000
  90, 12796671435338338010000
  --------------------------------
  total organic points in contract: 120537151260582049005000
  user 1 points: 54371073404675066780000
  user 2 points: 40003630044236250255000
  user 3 points: 26162447811670731970000
  total klima staked in contract: 30000000000000

Suite result: ok. 1 passed; 0 failed; 0 skipped; finished in 3.33s (728.00ms CPU time)

Ran 1 test suite in 3.33s (3.33s CPU time): 1 tests passed, 0 failed, 0 skipped (1 total tests)
